TICID,planet_name,period,T0,Tdur,depth,SNR
377293776,1,36.083,1712.157,0.152,0.0,1320.715
377293776,2,39.708,1698.557,0.126,0.0,1382.807
377293776,3,2.043,2641.899,0.038,0.0,662.719
377293776,4,4.672,1819.033,0.009,0.001,3793.164
377293776,5,7.692,1816.501,0.057,0.001,2764.439
377293776,6,21.004,1817.758,0.049,0.0,817.845
377293776,7,46.393,1842.676,0.183,0.0,773.877
377293776,8,6.677,1816.773,0.019,0.0,610.503
377293776,9,6.129,1818.202,0.026,0.001,1948.677
377293776,10,7.942,1823.302,0.019,0.0,1027.997
377293776,11,15.08,2396.991,0.027,0.001,1812.665
