TICID,planet_name,period,T0,Tdur,depth,SNR
193634953.0,1.0,2.948,1984.109,0.068,0.025,1340.992
193634953.0,2.0,11.785,1991.368,0.029,0.004,832.487
193634953.0,3.0,16.283,1997.391,0.436,0.003,125.825
193634953.0,4.0,19.496,1991.286,0.247,0.003,211.255
193634953.0,5.0,29.936,2002.962,0.147,0.007,772.18
193634953.0,6.0,35.688,2018.823,0.108,0.007,1001.037
193634953.0,7.0,37.432,2019.437,0.431,0.006,527.471
193634953.0,8.0,41.996,1991.833,0.175,0.006,630.405
193634953.0,9.0,45.321,1985.963,0.084,0.009,1897.714
193634953.0,10.0,13.938,2400.756,0.135,0.01,540.78
